CIEL ID,Reason,Action,Spanish name,OpenMRS name UUID
82237,multiple_preferred_in_import_log,demoted_previous_preferred,Poldina,4ebcd6a5-a5ef-492b-b91b-1d5b6d0df0bb
82237,multiple_preferred_in_import_log,promoted_2026_fsn,Poldine,fddea0d7-c7de-4a45-9efc-834aca2dbe22
81451,multiple_preferred_in_import_log,demoted_previous_preferred,Ácido pamidrónico,1f265f52-e0ee-4491-a03b-17d266a0de56
81451,multiple_preferred_in_import_log,promoted_2026_fsn,Pamidronato,8db87818-cc04-4638-9463-34fba44cde0c
76668,multiple_preferred_in_import_log,demoted_previous_preferred,Fosfofenitoína,f6113d48-cb8c-40ee-b3b1-11283c7269ae
76668,multiple_preferred_in_import_log,promoted_2026_fsn,Fosfenitoína,b4f7dd3d-e3e6-4f02-8a20-41d6befee6dc
74068,multiple_preferred_in_import_log,demoted_previous_preferred,Cloruro de cobre,85bde29e-d0ec-4787-a819-f683307d5925
74068,multiple_preferred_in_import_log,promoted_2026_fsn,Cloruro de cobre(II),c032d962-3ee3-4e86-a8b1-e78fea7ee0b5
1387,multiple_preferred_in_import_log,demoted_previous_preferred,Acetato de medroxiprogesterona,9fed8848-9808-4681-a1ff-86caa901f9fb
1387,multiple_preferred_in_import_log,promoted_2026_fsn,Uso de Depo-Provera,6fd786a1-c6e1-47a0-9c56-267cb7675d07
887,preferred_short_invalid_in_openmrs,demoted_short,glu,b71bcbb4-27a8-5be7-9682-2baa952ccafe
887,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Glucosa sérica (medición),06c30f4a-9537-55c8-a7f8-8759fe2931d1
5960,preferred_short_invalid_in_openmrs,demoted_short,SOLLOZO,cfda0923-4306-5cce-872e-38a4d141a84b
5960,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Dificultad respiratoria (síntoma),d0364f75-640a-5b43-b1ab-871726e7cdd8
5091,preferred_short_invalid_in_openmrs,demoted_short,Pulso,7dae7bcf-99f3-5e71-aa54-1c2e7e46a3ab
5091,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Pulso paradójico (hallazgo clínico),25174886-0ee3-5444-979c-b61705e9559f
1926,preferred_short_invalid_in_openmrs,demoted_short,Guantes de examen,0ef3b618-635b-5477-a5f6-3f5d8cc7419e
1926,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Guantes de examen (producto),24dc79bc-3e5a-5b9c-b4a7-784fa40b1392
1359,preferred_short_invalid_in_openmrs,demoted_short,Norplanta,2f77b796-bced-52eb-aefc-7a8050acfc64
1359,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Implante anticonceptivo Norplant,2a65230c-7775-5a0e-8992-dcdb312e4f3f
1665,preferred_short_invalid_in_openmrs,demoted_short,agotado,7e9d54d7-cdd5-5ce1-896e-ccaa014bc5c1
1665,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Fármaco agotado,a9f61c2c-fe2f-537c-9c62-b0ca44b7e571
165976,preferred_short_invalid_in_openmrs,demoted_short,IM perioperatorio,248733bd-749c-58ae-af85-41709e2e6f68
165976,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Infarto de miocardio perioperatorio (evento),34a9e6e0-133a-548c-bd21-80e56d42ef2b
1295,preferred_short_invalid_in_openmrs,demoted_short,EPOC,8631b2c5-fac8-51b4-8b4d-b29769acc1f7
1295,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Enfermedad pulmonar obstructiva crónica (EPOC),414b3655-ad11-5e4e-aee9-629e9575805a
163,preferred_short_invalid_in_openmrs,demoted_short,FB (cuerpo extraño),cf2f0d55-2d67-5f15-acbd-df2fd6b8dad9
163,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Cuerpo extraño (hallazgo),a8e400fc-0fe7-5e5d-92e9-ea3f355677ab
162608,preferred_short_invalid_in_openmrs,demoted_short,LES,79316313-f56c-5fce-8e3f-ec08b6a28fdc
162608,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Sierra Leona (país),0d921226-06b4-5196-875b-33a311a1ec3b
162606,preferred_short_invalid_in_openmrs,demoted_short,LBR,40e974ce-0e29-5337-a69e-4b39fee9b6c1
162606,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Liberia (país),7cfae3a4-d23f-55f7-b8db-28ed4c86f334
162255,preferred_short_invalid_in_openmrs,demoted_short,q72h,0262a263-4919-5a1a-9359-a823adcb934c
162255,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Cada 72 horas,0a444348-ea66-5567-92ea-a3c3533bc626
159618,preferred_short_invalid_in_openmrs,demoted_short,Obstretricia de EE. UU.,f1b578e2-5838-59ab-96a9-bf17dd5e06cf
159618,preferred_short_invalid_in_openmrs,added_clear_preferred_spanish_synonym,Ecografía obstétrica (procedimiento),b9d3a956-fa07-5da4-8c84-c524266352cb
