CIEL ID,Concept UUID,Spanish name,OpenMRS name external_id,Assigned OCL name uuid
887,887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,glu,b71bcbb4-27a8-5be7-9682-2baa952ccafe,40cc2d0b-4e5d-5e9f-801a-2d85eee29f44
5960,5960AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SOLLOZO,cfda0923-4306-5cce-872e-38a4d141a84b,c698cc19-1283-5264-bbdf-5a40c95c6990
5091,5091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pulso,7dae7bcf-99f3-5e71-aa54-1c2e7e46a3ab,0a2fcfa0-1d72-5080-8abf-a20c9fad13eb
1926,1926AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Guantes de examen,0ef3b618-635b-5477-a5f6-3f5d8cc7419e,5ca95d40-9323-513a-b12b-09ee3065a906
1359,1359AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Norplanta,2f77b796-bced-52eb-aefc-7a8050acfc64,3af51290-d140-5bac-9759-a14f50053c2b
1665,1665AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,agotado,7e9d54d7-cdd5-5ce1-896e-ccaa014bc5c1,c86f5d2a-c919-5d0d-afa9-27d874c29f8b
165976,165976AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,IM perioperatorio,248733bd-749c-58ae-af85-41709e2e6f68,03522cd6-ddaf-5670-8979-78ee899a4e62
1295,1295AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,EPOC,8631b2c5-fac8-51b4-8b4d-b29769acc1f7,8c3d231f-1efc-5b82-a0ec-260bc3789745
163,163AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,FB (cuerpo extraño),cf2f0d55-2d67-5f15-acbd-df2fd6b8dad9,86dc835a-af90-52fd-8c4d-beb64e626fe9
162608,162608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,LES,79316313-f56c-5fce-8e3f-ec08b6a28fdc,3e41e0de-05a7-5753-9716-f3aea3dbae83
162606,162606AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,LBR,40e974ce-0e29-5337-a69e-4b39fee9b6c1,b73f8120-a602-548c-995f-38f3af564e5c
162255,162255AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,q72h,0262a263-4919-5a1a-9359-a823adcb934c,28015c85-e948-5e48-b596-a5019b9ffaef
159618,159618AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Obstretricia de EE. UU.,f1b578e2-5838-59ab-96a9-bf17dd5e06cf,5e022cf0-16fc-58c0-bb20-56c3e9c258ac
121960,121960AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,IAM,077b1939-ddda-56f9-b32e-a53f0fe9f981,cb13eb75-d38d-5f82-addd-e2f9e4e2a892
1033,1033AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TC-PCR,309961dc-f490-55ef-9a1a-d8f977776cdf,95d020c2-1889-5045-835c-5945a0cd620a
