CIEL ID,Concept UUID,Preferred Spanish name,Name type,Concept name external_id,Action
1467,1467AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Diarrea por menos de un mes.,FULLY_SPECIFIED,c016aaa1-571c-571a-90cf-79810631cf41,added_preserving_type
146623,146623AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,quemaduras,FULLY_SPECIFIED,bb62fca4-9b66-578b-9344-c3d9de4d07f3,added_preserving_type
1466,1466AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Déficit neurológico focal,FULLY_SPECIFIED,62c9e48b-4db3-5761-8901-47ac0562d81f,added_preserving_type
1464,1464AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Diario,,ae0d83ec-63f8-4c62-aa01-8bb6f08200f4,promoted_existing
1462,1462AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Sobre los antirretrovirales,FULLY_SPECIFIED,be7e3348-4800-56f4-ab29-bb3eb03d70e7,added_preserving_type
146139,146139AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Oclusión de la arteria carótida,FULLY_SPECIFIED,71a09f2a-a57a-51df-a4e7-dd2749875551,added_preserving_type
146136,146136AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Trombosis de la arteria carótida,FULLY_SPECIFIED,5935dd4b-7fa0-5693-8cf7-cb76d41e91e3,added_preserving_type
146122,146122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,La enfermedad de Carrión,FULLY_SPECIFIED,508d19fa-d504-57c6-b136-14bf06734a64,added_preserving_type
1461,1461AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Activo sin ARV,FULLY_SPECIFIED,e5f3fe3a-7c19-582f-bded-96f1c7fc8e42,added_preserving_type
146,146AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Dolor de parto, falso",FULLY_SPECIFIED,9b91c804-37d8-5817-a0dc-bfcdba1e08df,added_preserving_type
1459,1459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pruebas de diagnóstico y asesoramiento para el VIH.,FULLY_SPECIFIED,60a0de4f-89f9-5c45-8b10-3a0fd35f08a7,added_preserving_type
145831,145831AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ataque cerebral,FULLY_SPECIFIED,147604b5-c6b3-5b23-b456-c79fbeeed8f4,added_preserving_type
145822,145822AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Células escamosas atípicas de significación indeterminada (ASCUS),FULLY_SPECIFIED,ad4c43e2-60d4-4102-a579-888f737d09ad,promoted_existing
996,996AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Constipación,FULLY_SPECIFIED,6c0439b3-f9aa-5ecc-a047-29dd3fd8bd65,added_preserving_type
994,994AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Adenitis, núms.",FULLY_SPECIFIED,15b59d05-9d0b-580c-9805-26cf58d6ce25,added_preserving_type
993,993AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Linfadenopatía tuberculosa,,aa268cdc-f5af-41f5-addd-9b63f339906a,promoted_existing
992,992AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,tiña versicolor,FULLY_SPECIFIED,18598ae6-4bcd-5d99-b457-046fa015bf10,added_preserving_type
990,990AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Toxoplasmosis, sistema nervioso central",FULLY_SPECIFIED,75de1130-50c8-5bd9-8682-75c2ede74a0b,added_preserving_type
988,988AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Asequibilidad,FULLY_SPECIFIED,2a4870a7-9ec9-5105-b7a4-d77a29df66b4,added_preserving_type
987,987AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Intolerancia,FULLY_SPECIFIED,ce971a92-4a20-47cb-aac6-a2491645cc49,promoted_existing
986,986AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Motivo por el que se cambió el método de alimentación,FULLY_SPECIFIED,74a09326-897b-5073-9a99-9b2baa2bdebf,added_preserving_type
985,985AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Régimen alimentario,,a935eeb4-da6f-499e-95a6-07eac38ff820,promoted_existing
984,984AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Vacunación,,28b84a8f-2b5f-4036-9c23-aea9d91474d2,promoted_existing
983,983AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cambio de peso,FULLY_SPECIFIED,47f18801-7181-5e03-a644-3c0825c43e9c,added_preserving_type
1458,1458AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Medición de glucosa en suero,,51752d18-1720-4dc5-9e55-bc75419a63f1,promoted_existing
982,982AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recuento de CD4 superior al 15%,FULLY_SPECIFIED,e9e4df65-0c09-5472-8ea6-29300d34031d,added_preserving_type
981,981AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cambio de dosificación,FULLY_SPECIFIED,c8d3736a-9309-587c-a47a-0536aee04822,added_preserving_type
980,980AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Superficie corporal,FULLY_SPECIFIED,c0bad318-456d-4990-9f66-4492bf572804,promoted_existing
98,98AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cloroquina,,ef7affe7-c543-584a-a601-a79a81ca35b8,added_as_preferred_synonym
979,979AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Miembro de la familia que administra medicamentos.,FULLY_SPECIFIED,f9c4c687-f04b-53f4-814b-759158ddbfad,added_preserving_type
977,977AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,exención hospitalaria,FULLY_SPECIFIED,1673ebe3-e82d-5285-a7f9-fe3153839f89,added_preserving_type
976,976AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Hospitalizado desde la última visita,FULLY_SPECIFIED,f339186c-40fb-5baf-972c-e39c70d24e86,added_preserving_type
969,969AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Familiar que acompaña al paciente.,FULLY_SPECIFIED,b41e05ae-0ec4-57da-81b1-6a3d6828a101,added_preserving_type
968,968AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Leche de vaca,FULLY_SPECIFIED,235ef9af-e9ac-43ef-8c8f-574048e8f668,promoted_existing
145777,145777AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Estado posterior al parto por cesárea,FULLY_SPECIFIED,cfd95bb2-e40f-56df-ac7d-e1274a727966,added_preserving_type
966,966AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Medicamentos antirretrovirales actuales utilizados para la profilaxis de la transmisión,FULLY_SPECIFIED,da0312a8-ee11-5e50-bee3-7ed54ddf279d,added_preserving_type
965,965AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Actualmente usando métodos anticonceptivos,FULLY_SPECIFIED,78068880-873c-5045-9cf0-ec53c884cb2f,added_preserving_type
964,964AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,rofecoxib,,e63bad65-beca-5d53-8001-24e167e497b4,added_as_preferred_synonym
962,962AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,itraconazol,,4c411631-abe6-566a-b64f-8acbd1cd7b20,added_as_preferred_synonym
960,960AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,clotrimazol,,16806502-8a89-52eb-92c7-e8e95d389473,added_as_preferred_synonym
958,958AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,famciclovir,,a04a2af9-2fe9-5795-bcfd-12747ab7f82e,added_as_preferred_synonym
954,954AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Escherichia coli,FULLY_SPECIFIED,a48a8cc1-f85c-574a-aac1-8bd2810c9c43,added_preserving_type
953,953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Grupo de pruebas de la función hepática,,eeb4135e-f3ad-4e19-a0a5-5abba8042b52,promoted_existing
952,952AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Recuento total de linfocitos,,3f4d6e68-9ffc-4d5a-9795-8fdbcedd13ec,promoted_existing
951,951AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Úlceras varicosas en las piernas,FULLY_SPECIFIED,081f822a-ab30-5d07-b13f-d4d427d921d3,added_preserving_type
950,950AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Membrana timpánica opaca,FULLY_SPECIFIED,d7858367-93c3-58b2-a169-2fe7c4048b57,added_preserving_type
95,95AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,doxiciclina,,2f2a8b73-b44f-5ea0-8af6-a97ef25373a7,added_as_preferred_synonym
946,946AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,fefol,FULLY_SPECIFIED,ab93dc37-44ff-511e-9244-8c77dc163852,added_preserving_type
943,943AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Triamcinolona,,3a43221e-d748-41c7-a6aa-ffe9ea6b6817,promoted_existing
94,94AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Betadina,FULLY_SPECIFIED,a01e5a8c-d6b2-50ee-9e14-b80b12931943,added_preserving_type
936,936AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Levamisol,,00da5b33-42db-53d6-a014-0437c3de07ac,added_as_preferred_synonym
935,935AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,metakelfina,FULLY_SPECIFIED,693e36fc-95a7-5a42-ab83-09d680dc41ae,added_preserving_type
934,934AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Enfermedad de transmisión sexual no especificada,FULLY_SPECIFIED,47943a0a-c8eb-560b-bbc7-613e36326422,added_preserving_type
930,930AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Seudoefedrina + triprolidina,,c239caff-a591-4a2c-b7be-bf0bacdf59e1,promoted_existing
93,93AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,cotrimoxazol,FULLY_SPECIFIED,fd927926-65e7-5604-a4b2-a68f5ecafb22,added_preserving_type
925,925AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ampicilina+cloxacilina,FULLY_SPECIFIED,5900d85c-2e9c-5ae3-a553-785f0fc9bf14,added_preserving_type
921,921AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,difenhidramina,,6af9be32-86ab-5db2-8921-e466b6f7eb75,added_as_preferred_synonym
920,920AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Carbamazepina,,73994e1f-775b-5ecc-97e6-3972bec6de5f,added_as_preferred_synonym
916,916AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Trimetoprim y sulfametoxazol,FULLY_SPECIFIED,caa25670-b62d-50fc-8a5d-06659c47da40,added_preserving_type
912,912AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Ibuprofeno,,1961da78-21b3-5088-a227-f6300922fcc4,added_as_preferred_synonym
910,910AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Convulsión,,026f3576-95e1-4f35-85de-5d2768746e8b,promoted_existing
91,91AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Trimetoprima,,2bcddf7f-08a3-42a7-aed4-aab5e337fda0,promoted_existing
909,909AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Calidad del dolor en el pecho,FULLY_SPECIFIED,b9dd2d57-5c81-5e08-93c4-63af284401e8,added_preserving_type
908,908AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"Virus del herpes simple, cualitativo",FULLY_SPECIFIED,ad63e527-57f8-59ed-a943-e2317df94985,added_preserving_type
902,902AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Enfermedad inflamatoria pélvica,FULLY_SPECIFIED,2661796f-1807-56fe-ba9e-092ea32fcf10,added_preserving_type
90,90AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Pastillas de penicilina v (oral),FULLY_SPECIFIED,294cbe27-9e9a-57d7-81c2-3ebb4c77b233,added_preserving_type
9,9AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Glucemia,FULLY_SPECIFIED,a3efd003-9bba-5fb0-b725-9bd3b4950d35,added_preserving_type
1457,1457AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,infección por VIH,FULLY_SPECIFIED,2c7e7b37-76e0-52a4-8a80-9e9d8c49689c,added_preserving_type
89,89AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Paracetamol,,fc9ffd2a-00c6-4901-8d85-1586114781e7,promoted_existing
145692,145692AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Psicosis Infantil NEOM,FULLY_SPECIFIED,3658da6c-57d7-5cfc-a016-06e035827a3c,added_preserving_type
889,889AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Deficiencia de vitamina C,FULLY_SPECIFIED,1308c751-329d-59f1-aca8-b52c7dc53451,added_preserving_type
887,887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,glu,SHORT,b71bcbb4-27a8-5be7-9682-2baa952ccafe,added_preserving_type
884,884AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Virus de inmunodeficiencia humana,FULLY_SPECIFIED,7e5fe6c4-d0ce-5f9a-a72e-a2c62ed57b69,added_preserving_type
883,883AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Tinción de Ziehl nielsen,FULLY_SPECIFIED,44594c13-cf44-56cf-82e9-c062d43baf1e,added_preserving_type
879,879AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Enfermedades pruriginosas,,b19d4537-bbda-4546-8c54-914f514ba6ab,promoted_existing
